E,split,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE,Ta_c_old,k_c_old,Ta_c_pchip,k_c_pchip
0.0257,train,62.1483,14.3,62.107464,14.278018023003378,0.2626974626086045,62.31196212768555,14.291200637817385,62.148299999999985,14.3
0.0259,val,61.918,14.4,61.89102,14.479270914169138,0.4047275188699197,62.08119201660156,14.380399703979492,61.900286104592425,14.456594317436478
0.0262,test,61.5743,14.6,61.57001,14.70543358129676,0.4053627198217613,61.73341751098633,14.631999969482422,61.53254873704705,14.691513701378586
0.0263,val,61.4861,14.6,61.45965,14.759493699320553,0.4493054696691278,61.64658737182617,14.631999969482422,61.423418041091,14.748508243424201
0.0265,train,61.2427,14.8,61.30073,14.819399495673355,0.3123058252147568,61.411720275878906,14.808000564575195,61.242700000000006,14.8
0.0266,train,61.1797,14.8,61.13484,14.866999999999996,0.4572436360598502,61.35605239868164,14.808000564575195,61.17969999999999,14.8
0.0268,train,60.9229,15.0,60.991783,14.95497150265316,0.3234491797195206,61.09506607055664,14.926000595092772,60.9229,15.0
0.0269,test,60.8537,15.0,60.843906,14.92553771352232,0.438474241921079,61.0225944519043,15.098000526428224,60.81401845532634,15.071567760893585
0.0271,val,60.612,15.1,60.664818,11.74334964835064,0.3542013630954348,60.78516006469727,15.098000526428224,60.623424008704475,15.203536311056729
0.0274,train,60.3054,15.3,60.08931,11.92397108410731,0.3665752335051382,60.48648452758789,15.336000442504885,60.305399999999985,15.3
0.0276,train,59.9901,11.9,59.812897,11.97924973463899,0.322890486997536,60.1157341003418,11.947999954223633,59.990100000000005,11.9
0.0279,train,59.5755,12.0,59.268158,12.137685707474224,0.3357098205845952,59.69503021240234,12.015999794006348,59.575500000000005,12.0
0.028,train,59.4415,12.1,59.115097,12.15953440511912,0.323507570213359,59.56110382080078,12.083999633789062,59.44149999999999,12.1
0.0282,train,59.1815,12.1,58.80813,12.291421989353283,0.4782936577411807,59.30670166015625,12.184000015258787,59.1815,12.1
0.0284,train,58.8071,12.2,58.62755,12.341242959754704,0.3846987661511566,58.93338394165039,12.139999389648438,58.80710000000001,12.2
0.0286,train,58.6473,12.3,58.28889,12.502642619837902,0.6331079842426275,58.77006149291992,12.139999389648438,58.647300000000016,12.3
0.0287,val,58.451,12.3,58.275692,12.38835499149511,0.2891390702581411,58.57379913330078,12.206000328063965,58.53091369685657,12.329715841709994
0.029,train,58.1122,12.4,58.086014,12.49461334660694,0.4701550714002681,58.23843383789063,12.253599166870115,58.11219999999999,12.4
0.0291,test,57.932,12.5,57.917084,12.040710170014169,0.4102248960176979,58.05915069580078,12.317999839782717,58.001642554417735,12.429889397930529
0.0293,train,57.7897,12.5,58.1255,12.028,0.4008059146592364,57.93638610839844,12.289199829101562,57.789699999999996,12.5
0.0295,val,57.4824,12.6,57.400066,12.739,0.8740736119673974,57.65384292602539,12.444000244140623,57.537417337847415,12.600096660733975
0.0297,train,57.2868,12.7,57.040436,12.739,0.7695761058604326,57.55924606323242,12.60200023651123,57.2868,12.7
0.0298,val,57.19,12.7,57.142418,12.739,0.4845801347637182,57.45555114746094,12.57200050354004,57.17004586572896,12.74359999220838
0.03,train,56.9703,12.8,56.914932,12.876,0.4527394874067034,57.1678466796875,12.60200023651123,56.9703,12.8
